VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2024-02-01 00:12:41,2024-02-01 00:26:49,1.0,3.53,1.0,N,90,163,1,18.4,1.0,0.5,5.85,0.0,1.0,29.25,2.5,0.0
2,2024-02-01 00:29:36,2024-02-01 00:48:43,1.0,2.54,1.0,N,163,164,1,19.1,1.0,0.5,7.23,0.0,1.0,31.33,2.5,0.0
2,2024-02-01 00:33:50,2024-02-01 00:46:19,1.0,2.93,1.0,N,234,162,1,15.6,1.0,0.5,5.15,0.0,1.0,25.75,2.5,0.0
2,2024-02-01 00:52:05,2024-02-01 01:06:42,1.0,2.88,1.0,N,141,90,1,16.3,1.0,0.5,5.32,0.0,1.0,26.62,2.5,0.0
2,2024-02-01 01:00:17,2024-02-01 01:04:50,1.0,0.7,1.0,N,237,263,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2024-02-01 00:22:30,2024-02-01 00:27:30,1.0,0.98,1.0,N,246,48,1,7.2,1.0,0.5,3.66,0.0,1.0,15.86,2.5,0.0
2,2024-02-01 00:41:47,2024-02-01 00:48:52,1.0,1.8,1.0,N,230,68,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
1,2024-02-01 00:00:33,2024-02-01 00:09:33,1.0,1.5,1.0,N,236,162,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2024-02-01 00:53:40,2024-02-01 01:09:28,1.0,2.9,1.0,N,263,230,4,15.6,3.5,0.5,0.0,0.0,1.0,20.6,2.5,0.0
1,2024-02-01 00:14:05,2024-02-01 00:25:34,1.0,2.1,1.0,N,144,107,1,13.5,3.5,0.5,0.0,0.0,1.0,18.5,2.5,0.0
1,2024-02-01 00:44:20,2024-02-01 01:06:27,1.0,5.1,1.0,N,68,256,1,25.4,3.5,0.5,9.12,0.0,1.0,39.52,2.5,0.0
1,2024-02-01 00:18:21,2024-02-01 00:33:32,4.0,2.1,1.0,N,234,229,2,14.9,3.5,0.5,0.0,0.0,1.0,19.9,2.5,0.0
1,2024-02-01 00:37:00,2024-02-01 00:40:47,1.0,1.0,1.0,N,162,141,1,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2024-02-01 00:04:43,2024-02-01 00:11:25,1.0,1.0,1.0,N,100,170,1,8.6,1.0,0.5,0.0,0.0,1.0,13.6,2.5,0.0
2,2024-02-01 00:19:07,2024-02-01 00:33:43,1.0,3.54,1.0,N,164,236,2,17.7,1.0,0.5,0.0,0.0,1.0,22.7,2.5,0.0
2,2024-02-01 00:42:19,2024-02-01 00:46:36,1.0,1.13,1.0,N,237,229,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
1,2024-02-01 00:33:14,2024-02-01 00:35:36,1.0,0.8,1.0,N,90,249,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0
2,2024-02-01 00:31:59,2024-02-01 00:43:25,1.0,1.61,1.0,N,137,246,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2024-02-01 00:02:06,2024-02-01 00:40:45,1.0,11.9,1.0,N,132,49,1,53.4,1.0,0.5,11.18,0.0,1.0,68.83,0.0,1.75
2,2024-02-01 00:35:31,2024-02-01 00:42:16,1.0,1.2,1.0,N,107,164,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2024-02-01 00:43:21,2024-02-01 00:45:35,1.0,0.63,1.0,N,164,234,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
1,2024-02-01 00:03:49,2024-02-01 00:08:53,3.0,0.9,1.0,N,113,125,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0
1,2024-02-01 00:24:13,2024-02-01 00:40:45,1.0,5.3,1.0,N,113,239,1,24.0,3.5,0.5,2.0,0.0,1.0,31.0,2.5,0.0
1,2024-02-01 00:49:52,2024-02-01 00:55:26,1.0,1.4,1.0,N,48,161,2,8.6,3.5,0.5,0.0,0.0,1.0,13.6,2.5,0.0
2,2024-02-01 00:50:18,2024-02-01 01:04:11,2.0,3.5,1.0,N,161,226,1,17.7,1.0,0.5,2.4,0.0,1.0,25.1,2.5,0.0
1,2024-02-01 00:46:13,2024-02-01 00:53:28,1.0,0.0,99.0,N,223,7,1,17.5,0.0,0.5,0.0,0.0,1.0,19.0,0.0,0.0
1,2024-02-01 00:27:26,2024-02-01 00:36:11,1.0,1.6,1.0,N,234,233,1,10.7,3.5,0.5,3.1,0.0,1.0,18.8,2.5,0.0
1,2024-02-01 00:28:00,2024-02-01 00:30:51,1.0,0.2,1.0,N,162,229,2,4.4,3.5,0.5,0.0,0.0,1.0,9.4,2.5,0.0
1,2024-02-01 00:33:08,2024-02-01 00:41:50,1.0,2.3,1.0,N,229,263,1,11.4,3.5,0.5,3.3,0.0,1.0,19.7,2.5,0.0
1,2024-02-01 00:52:35,2024-02-01 01:02:39,1.0,2.9,1.0,N,229,7,1,14.2,3.5,0.5,3.85,0.0,1.0,23.05,2.5,0.0
1,2024-02-01 00:10:30,2024-02-01 00:34:01,1.0,10.7,1.0,N,186,127,1,42.2,3.5,0.5,9.44,0.0,1.0,56.64,2.5,0.0
2,2024-02-01 00:15:19,2024-02-01 00:42:50,1.0,12.37,1.0,N,70,240,2,51.3,6.0,0.5,0.0,6.94,1.0,67.49,0.0,1.75
2,2024-02-01 00:45:30,2024-02-01 00:51:24,1.0,1.17,1.0,N,234,79,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2024-02-01 00:10:41,2024-02-01 00:16:00,2.0,1.5,1.0,N,239,151,1,9.3,3.5,0.5,4.5,0.0,1.0,18.8,2.5,0.0
1,2024-02-01 00:00:16,2024-02-01 00:01:18,1.0,0.1,1.0,N,186,100,4,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0
1,2024-02-01 00:43:39,2024-02-01 00:50:34,1.0,1.3,1.0,N,249,68,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
1,2024-02-01 00:53:40,2024-02-01 01:00:05,1.0,1.2,1.0,N,158,90,1,8.6,3.5,0.5,2.7,0.0,1.0,16.3,2.5,0.0
2,2024-02-01 00:45:05,2024-02-01 00:57:20,1.0,2.99,1.0,N,114,66,1,15.6,1.0,0.5,6.0,0.0,1.0,26.6,2.5,0.0
2,2024-02-01 00:05:31,2024-02-01 00:18:08,1.0,2.77,1.0,N,144,164,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2024-02-01 00:18:50,2024-02-01 00:20:45,1.0,0.5,1.0,N,164,161,2,4.4,1.0,0.5,0.0,0.0,1.0,9.4,2.5,0.0
1,2024-02-01 00:05:14,2024-02-01 00:19:02,1.0,2.9,1.0,N,164,140,1,14.9,3.5,0.5,1.0,0.0,1.0,20.9,2.5,0.0
2,2024-02-01 00:28:21,2024-02-01 00:35:45,1.0,1.75,1.0,N,158,246,2,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2024-02-01 00:10:01,2024-02-01 00:21:10,1.0,2.7,1.0,N,263,48,4,-14.9,-1.0,-0.5,0.0,0.0,-1.0,-19.9,-2.5,0.0
2,2024-02-01 00:10:01,2024-02-01 00:21:10,1.0,2.7,1.0,N,263,48,4,14.9,1.0,0.5,0.0,0.0,1.0,19.9,2.5,0.0
2,2024-02-01 00:28:54,2024-02-01 00:29:18,1.0,0.0,5.0,N,48,48,1,19.99,0.0,0.0,0.0,0.0,1.0,23.49,2.5,0.0
2,2024-02-01 00:38:53,2024-02-01 00:57:31,1.0,7.49,1.0,N,229,97,1,32.4,1.0,0.5,7.48,0.0,1.0,44.88,2.5,0.0
2,2024-02-01 00:27:57,2024-02-01 00:43:26,1.0,3.8,1.0,N,132,10,1,20.5,1.0,0.5,4.6,0.0,1.0,29.35,0.0,1.75
